"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00092159","1996-12","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","7",",0","5",",0","1",",0","0",",0","0",",0","","","","","","","","","","","2","","","","19961218",",,0","19961218",",,0","","","19961201",",,0","","","","","0",",T,0,18,","0",",T,0,18,","50.8",",,0,01,","","","","","","","92.3",",,,0","0",",T,,0","","","","","",""
"USC00092159","1997-01","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","11",",0","11",",0","1",",0","0",",0","0",",0","","","","","","","","","","","1","","","","19970131","+,,0","19970131","+,,0","1","","19970115",",,0","","","","","0",",,0,31,+","0",",,0,31,+","37.1",",,0,15,","","","","","","","145.8",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-02","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","10",",0","8",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19970228","+,,0","19970228","+,,0","","","19970214",",,0","","","","","0",",,0,28,+","0",",,0,28,+","48.5",",,0,14,","","","","","","","156.6",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-03","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","9",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19970331","+,,0","19970331","+,,0","","","19970330",",,0","","","","","0",",,0,31,+","0",",,0,31,+","11.2",",,0,30,","","","","","","","33.7",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-04","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","7",",0","6",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","19970430","+,,0","19970430","+,,0","","","19970427",",,0","","","","","0",",,0,30,+","0",",,0,30,+","74.2",",,0,27,","","","","","","","148.0",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-05","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","12",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19970531","+,,0","19970531","+,,0","","","19970503",",,0","","","","","0",",,0,31,+","0",",,0,31,+","28.4",",,0,03,","","","","","","","115.6",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-06","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","14",",0","11",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19970630","+,,0","19970630","+,,0","","","19970625",",,0","","","","","0",",,0,30,+","0",",,0,30,+","39.4",",,0,25,","","","","","","","170.6",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-07","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","11",",0","10",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19970731","+,,0","19970731","+,,0","","","19970707",",,0","","","","","0",",,0,31,+","0",",,0,31,+","40.1",",,0,07,","","","","","","","128.7",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-08","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","6",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19970831","+,,0","19970831","+,,0","","","19970814",",,0","","","","","0",",,0,31,+","0",",,0,31,+","18.5",",,0,14,","","","","","","","47.2",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-09","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","5",",0","5",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19970930","+,,0","19970930","+,,0","","","19970925",",,0","","","","","0",",,0,30,+","0",",,0,30,+","35.3",",,0,25,","","","","","","","83.6",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-10","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","7",",0","6",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19971031","+,,0","19971031","+,,0","","","19971024",",,0","","","","","0",",,0,31,+","0",",,0,31,+","30.0",",,0,24,","","","","","","","96.8",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-11","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","7",",0","6",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","","","19971130","+,,0","19971130","+,,0","","","19971112",",,0","","","","","0",",,0,30,+","0",",,0,30,+","39.6",",,0,12,","","","","","","","155.5",",,,0","0",",,,0","","","","","",""
"USC00092159","1997-12","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","16",",0","10",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","19971214",",,0","19971214",",,0","","","19971214",",,0","","","","","0",",T,0,14,","0",",T,0,14,","68.6",",,0,14,","","","","","","","250.2",",,,0","0",",T,,0","","","","","",""
"USC00092159","1998-01","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","9",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19980131","+,,0","19980131","+,,0","","","19980107",",,0","","","","","0",",,0,31,+","0",",,0,31,+","30.5",",,0,07,","","","","","","","102.2",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-02","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","11",",0","9",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","19980228","+,,0","19980228","+,,0","","","19980203",",,0","","","","","0",",,0,28,+","0",",,0,28,+","43.2",",,0,03,","","","","","","","172.5",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-03","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","8",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19980331","+,,0","19980331","+,,0","","","19980308",",,0","","","","","0",",,0,31,+","0",",,0,31,+","55.9",",,0,08,","","","","","","","107.8",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-04","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","11",",0","7",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19980430","+,,0","19980430","+,,0","","","19980414",",,0","","","","","0",",,0,30,+","0",",,0,30,+","36.3",",,0,14,","","","","","","","119.1",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-05","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","3",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19980531","+,,0","19980531","+,,0","","","19980530",",,0","","","","","0",",,0,31,+","0",",,0,31,+","24.4",",,0,30,","","","","","","","47.0",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-06","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","6",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19980630","+,,0","19980630","+,,0","","","19980625",",,0","","","","","0",",,0,30,+","0",",,0,30,+","62.7",",,0,25,","","","","","","","104.2",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-07","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","16",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19980731","+,,0","19980731","+,,0","","","19980720",",,0","","","","","0",",,0,31,+","0",",,0,31,+","19.6",",,0,20,","","","","","","","60.7",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-08","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","9",",0","5",",0","0",",0","0","1,0","0",",0","","","","","","","","","","","","","","","19980831","+,1,0","19980831","+,,0","","","19980809",",,0","","","","","0","1,,0,31,+","0",",,0,31,+","17.8",",,0,09,","","","","","","","59.0",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-09","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","8",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19980930","+,,0","19980930","+,,0","","","19980929",",,0","","","","","0",",,0,30,+","0",",,0,30,+","101.6",",,0,29,","","","","","","","152.5",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-10","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","","","2",",0","2",",0","1",",0","","","0",",0","","","","","","","","","","","","","","","","","19981031","+,,0","","","19981007",",,0","","","","","","","0",",,0,31,+","33.0",",,0,07,","","","","","","","35.8",",,,0","0",",,,0","","","","","",""
"USC00092159","1998-11","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","10.8","1,0","3","2,0","3","2,0","0","2,0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","23","1,0","0","1,0","","","19981107",",1,0","19981130","+,,0","19981130","+,,0","","","19981114",",2,0","19981101",",1,0","2.8","1,0,07,","0",",,0,30,+","0",",,0,30,+","10.2","2,,0,14,","29.4","1,0,01,","","","83.7","1,0","33.5",",a,,0","0",",,,0","15.82","1,0","22.33","1,,,0","9.31","1,,,0"
"USC00092159","1999-01","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","0.9","0","0.9",",0","9",",0","6",",0","3",",0","0","1,0","0",",0","0",",0","10",",0","0",",0","10",",0","0",",0","","","19990105",",,0","19990131","+,1,0","19990131","+,,0","","","19990123",",,0","19990127","+,,0","-7.8",",0,05,","0","1,,0,31,+","0",",,0,31,+","47.2",",,0,23,","25.6",",0,27,+","","","248.4",",0","139.9",",,,0","0",",,,0","10.35",",0","17.33",",,,0","3.37",",,,0"
"USC00092159","1999-02","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","4.8","0","3.9",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","12",",0","0",",0","","","19990222","+,,0","19990228","+,,0","19990228","+,,0","","","19990201",",,0","19990211",",,0","-2.2",",0,22,+","0",",,0,28,+","0",",,0,28,+","20.3",",,0,01,","26.7",",0,11,","","","181.7",",0","62.2",",,,0","0",",,,0","11.98",",0","18.41",",,,0","5.56",",,,0"
"USC00092159","1999-03","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","4.8","0","0.0",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","13",",0","0",",0","","","19990304",",,0","19990331","+,,0","19990331","+,,0","","","19990313",",,0","19990320","+,,0","0.0",",0,04,","0",",,0,31,+","0",",,0,31,+","48.8",",,0,13,","26.7",",0,20,+","","","170.0",",0","116.4",",,,0","0",",,,0","12.85",",0","20.40",",,,0","5.30",",,,0"
"USC00092159","1999-04","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","98.5","0","93.7","1,0","4",",0","4",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","26",",0","0",",0","","","19990419",",1,0","19990430","+,,0","19990430","+,,0","","","19990427",",,0","19990423","+,,0","4.4","1,0,19,","0",",,0,30,+","0",",,0,30,+","39.9",",,0,27,","31.1",",0,23,+","","","28.9",",0","55.7",",,,0","0",",,,0","20.55","1,0","27.17",",,,0","13.92","1,,,0"
"USC00092159","1999-05","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","225.4","0","126.9","1,0","9",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","2",",0","","","19990501",",1,0","19990531","+,,0","19990531","+,,0","","","19990505",",,0","19990523","+,,0","8.9","1,0,01,","0",",,0,31,+","0",",,0,31,+","20.3",",,0,05,","32.8",",0,23,+","","","2.5",",0","56.6",",,,0","0",",,,0","22.44","1,0","28.93",",,,0","15.96","1,,,0"
"USC00092159","1999-06","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","454.4","0","229.0",",0","12",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","16",",0","","","19990620",",,0","19990630","+,,0","19990630","+,,0","","","19990627",",,0","19990609",",,0","17.2",",0,20,","0",",,0,30,+","0",",,0,30,+","24.1",",,0,27,","36.1",",0,09,","","","0.0",",0","98.0",",,,0","0",",,,0","25.97",",0","31.25",",,,0","20.69",",,,0"
"USC00092159","1999-07","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","731.9","0","277.5","3,0","9",",0","8",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0","2,0","29","2,0","23","2,0","","","19990713",",3,0","19990731","+,,0","19990731","+,,0","","","19990722",",,0","19990731",",2,0","18.9","3,0,13,","0",",,0,31,+","0",",,0,31,+","19.3",",,0,22,","38.3","2,0,31,","0.0","0","0.0","2,0","74.5",",,,0","0",",,,0","28.19","3,0","33.69","2,,,0","22.69","3,,,0"
"USC00092159","1999-09","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","188.5",",0","6",",0","4",",0","0",",0","0","1,0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","","","19990923",",,0","19990930","+,1,0","19990930","+,,0","","","19990926",",,0","19990906",",,0","8.9",",0,23,","0","1,,0,30,+","0",",,0,30,+","22.4",",,0,26,","36.7",",0,06,","","","0.9",",0","55.4",",,,0","0",",,,0","24.59",",0","30.57",",,,0","18.60",",,,0"
"USC00092159","1999-10","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","66.2",",0","5",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","","","19991025",",,0","19991031","+,,0","19991031","+,,0","","","19991010",",,0","19991003",",,0","2.8",",0,25,","0",",,0,31,+","0",",,0,31,+","31.8",",,0,10,","31.7",",0,03,","","","41.3",",0","80.8",",,,0","0",",,,0","19.14",",0","25.26",",,,0","13.01",",,,0"
"USC00092159","1999-11","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","2.5",",0","4",",0","3",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","19",",0","0",",0","","","19991104",",,0","19991130","+,,0","19991130","+,,0","","","19991101",",,0","19991111",",,0","0.0",",0,04,","0",",,0,30,+","0",",,0,30,+","37.1",",,0,01,","26.1",",0,11,","","","115.4",",0","51.4",",,,0","0",",,,0","14.57",",0","21.29",",,,0","7.85",",,,0"
"USC00092159","1999-12","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","0.0","1,0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0","1,0","5","1,0","0","1,0","","","19991201",",,0","19991231","+,,0","19991231","+,,0","","","19991221",",,0","19991205",",1,0","-6.1",",0,01,","0",",,0,31,+","0",",,0,31,+","23.9",",,0,21,","24.4","1,0,05,","","","268.3","1,0","65.7",",,,0","0",",,,0","9.56","1,0","16.22","1,,,0","2.90",",,,0"
"USC00092159","2000-01","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","0.0","0","0.0","1,0","9",",0","8",",0","1",",0","0",",0","0",",0","0",",0","10",",0","0","1,0","6","1,0","0","1,0","","","20000127",",,0","20000131","+,,0","20000131","+,,0","","","20000123",",,0","20000104","+,1,0","-5.0",",0,27,","0",",,0,31,+","0",",,0,31,+","30.5",",,0,23,","25.6","1,0,04,+","","","293.2","1,0","108.2",",,,0","0",",,,0","8.51","1,0","14.03","1,,,0","3.00",",,,0"
"USC00092159","2000-03","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","5.3",",0","10",",0","7",",0","3",",0","0","1,0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","","","20000313",",,0","20000331","+,1,0","20000331","+,,0","","","20000330",",,0","20000325",",,0","1.1",",0,13,","0","1,,0,31,+","0",",,0,31,+","53.3",",,0,30,","27.2",",0,25,","","","80.4",",0","165.4",",,,0","0",",,,0","15.91",",0","22.92",",,,0","8.90",",,,0"
"USC00092159","2000-04","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","18.6","1,0","5",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","26","1,0","0","1,0","","","20000410","+,1,0","20000430","+,,0","20000430","+,,0","","","20000414",",,0","20000420",",1,0","1.1","1,0,10,+","0",",,0,30,+","0",",,0,30,+","10.2",",,0,14,","29.4","1,0,20,","","","57.1","1,0","26.2",",,,0","0",",,,0","17.01","1,0","24.47","1,,,0","9.55","1,,,0"
"USC00092159","2000-05","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","198.9",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","","","20000502","+,,0","20000531","+,,0","20000531","+,,0","","","20000521",",,0","20000525",",,0","10.0",",0,02,+","0",",,0,31,+","0",",,0,31,+","12.7",",,0,21,","35.0",",0,25,","","","0.0",",0","18.1",",,,0","0",",,,0","24.75",",0","31.38",",,,0","18.12",",,,0"
"USC00092159","2000-06","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","273.2",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","27",",0","","","20000607",",,0","20000630","+,,0","20000630","+,,0","","","20000615",",,0","20000622",",,0","14.4",",0,07,","0",",,0,30,+","0",",,0,30,+","7.4",",,0,15,","37.2",",0,22,","","","0.0",",0","13.5",",,,0","0",",,,0","27.44",",0","34.35",",,,0","20.53",",,,0"
"USC00092159","2000-07","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","312.2","2,0","7",",0","6",",0","1",",0","0",",0","0","1,0","0","1,0","0","1,0","0","1,0","30","1,0","27","1,0","","","20000701",",1,0","20000731","+,,0","20000731","+,1,0","","","20000712",",,0","20000720","+,1,0","19.4","1,0,01,","0",",,0,31,+","0","1,,0,31,+","66.0",",,0,12,","38.9","1,0,20,+","0.0","0","0.0","1,0","90.9",",,,0","0","1,,,0","28.97","2,0","35.61","1,,,0","22.33","1,,,0"
"USC00092159","2000-08","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","291.9","1,0","8",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","30","1,0","26","1,0","","","20000814",",,0","20000831","+,,0","20000831","+,,0","","","20000821",",,0","20000818",",1,0","17.8",",0,14,","0",",,0,31,+","0",",,0,31,+","47.0",",,0,21,","40.0","1,0,18,","0.0","0","0.0","1,0","124.9",",,,0","0",",,,0","28.06","1,0","34.37","1,,,0","21.75",",,,0"
"USC00092159","2000-09","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","152.6","1,0","9",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","29","1,0","4","1,0","","","20000928",",,0","20000930","+,,0","20000930","+,,0","","","20000902",",,0","20000920","+,1,0","11.1",",0,28,","0",",,0,30,+","0",",,0,30,+","34.3",",,0,02,","33.3","1,0,20,+","0.6","0","0.6","1,0","115.2",",,,0","0",",,,0","23.64","1,0","28.70","1,,,0","18.57",",,,0"
"USC00092159","2000-10","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","53.3","1,0","1",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","27","1,0","0","1,0","","","20001010","+,1,0","20001031","+,,0","20001031","+,,0","","","20001006",",,0","20001005",",1,0","3.9","1,0,10,+","0",",,0,31,+","0",",,0,31,+","2.5",",,0,06,","31.7","1,0,05,","36.7","0","36.1","1,0","2.5",",,,0","0",",,,0","18.91","1,0","26.40","1,,,0","11.41","1,,,0"
"USC00092159","2000-11","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","22.2","1,0","8","1,0","8","1,0","1","1,0","0",",0","0",",0","0","1,0","2","1,0","0","1,0","9","1,0","0","1,0","","","20001122",",1,0","20001130","+,,0","20001130","+,,0","","","20001109",",1,0","20001103","+,1,0","-4.4","1,0,22,","0",",,0,30,+","0",",,0,30,+","34.5","1,,0,09,","29.4","1,0,03,+","211.1","0","174.4","1,0","123.2","1,,,0","0",",,,0","13.08","1,0","19.06","1,,,0","7.11","1,,,0"
"USC00092159","2000-12","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","","","0.0","2,0","9",",0","9",",0","1",",0","0",",0","0",",0","0","1,0","19","1,0","0","2,0","0","2,0","0","2,0","","","20001220",",1,0","20001231","+,,0","20001231","+,,0","","","20001228",",,0","20001216",",2,0","-8.9","1,0,20,","0",",,0,31,+","0",",,0,31,+","43.2",",,0,28,","20.0","2,0,16,","610.0","0","398.9","2,0","115.7",",,,0","0",",,,0","4.72","2,0","10.12","2,,,0","-0.69","1,,,0"
"USC00092159","2001-01","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","0.0","0","0.0",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","17",",0","0",",0","1",",0","0",",0","","","20010103","+,,0","20010131","+,,0","20010131","+,,0","","","20010119",",,0","20010129",",,0","-6.1",",0,03,+","0",",,0,31,+","0",",,0,31,+","26.9",",,0,19,","21.7",",0,29,","973.1","0","363.1",",0","60.2",",,,0","0",",,,0","6.62",",0","12.89",",,,0","0.35",",,,0"
"USC00092159","2001-02","32.5181","-84.9378","132.6","COLUMBUS NUMBER 2, GA US","4.5","0","4.5",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","13",",0","0",",0","","","20010209","+,,0","20010228","+,,0","20010228","+,,0","","","20010225",",,0","20010216",",,0","-3.9",",0,09,+","0",",,0,28,+","0",",,0,28,+","14.0",",,0,25,","26.7",",0,16,","1144.2","0","171.1",",0","24.1",",,,0","0",",,,0","12.38",",0","19.07",",,,0","5.70",",,,0"
